,dhi,dirhi,pressure,temp_air,v_wind,z0
2010-01-14 09:00:00+01:00,54.9501,34584,99908.6,262.08,2.34113,0.15
2010-01-14 10:00:00+01:00,83.6335,90.1296,99895.7,262.7,2.48199,0.15
2010-01-14 11:00:00+01:00,99151,131005,99895.1,263.47,2.45764,0.15
2010-01-14 12:00:00+01:00,102823,141693,99897.1,264.14,2.40889,0.15
2010-01-14 13:00:00+01:00,94.9666,119.02,99910.3,264.51,2.45508,0.15
2010-01-14 14:00:00+01:00,74.9285,70.3098,99958.6,264.51,2.51699,0.15
2010-01-14 15:00:00+01:00,41.2298,17.4528,100018,264.19,2.6615,0.15
2010-01-14 16:00:00+01:00,4.50093E-007,0,100062,263.79,2.80389,0.15
2010-01-14 17:00:00+01:00,4.51818E-007,0,100102,263.46,2.71459,0.15
2010-01-14 18:00:00+01:00,4.5365E-007,0,100154,263.25,2.62107,0.15
2010-01-14 19:00:00+01:00,4.36449E-007,0,100209,263.05,2.45935,0.15
2010-01-14 20:00:00+01:00,0,0,100256,262.83,2.44922,0.15
2010-01-14 21:00:00+01:00,0,0,100301,262.59,2.4425,0.15
2010-01-14 22:00:00+01:00,0,0,100348,262.42,2.26786,0.15
