turbine_type,id,turbine_id,manufacturer,name,nominal_power,rotor_diameter,rotor_area,hub_height,max_speed_drive,wind_class_iec,wind_zone_dibt,power_density,power_density_2,calculated,has_power_curve,has_cp_curve,has_ct_curve,source
GE100/2750,118,127,GE Wind,GE 2.75-100,2750000,100,7853, 75;85;98.3;123.5,,,,,,,False,False,False,https://www.wind-turbine-models.com/turbines/748-general-electric-ge-2.75-100
GE103/2500,120,129,GE Wind,GE 2.5-103,2500000,103,8331,85; 110; 139,,IIIa,WZ 2,243.2,4.1,True,False,False,False,https://www.wind-turbine-models.com/turbines/1293-general-electric-ge-2.5-103
GE103/2750,117,126,GE Wind,GE 2.75-103,2750000,103,8331, 75;85;98.3;123.5,,,,,,True,True,True,True,https://www.wind-turbine-models.com/turbines/747-general-electric-ge-2.75-103
GE103/2850,115,124,GE Wind,GE 2.85-103,3850000,103,8331,75;85;98.3,,,,,,,False,False,False,https://www.wind-turbine-models.com/turbines/750-general-electric-ge-2.85-103
GE120/2500,119,128,GE Wind,GE 2.5-120,2500000,120,11308,110; 139,,,,,,True,True,True,True,https://www.wind-turbine-models.com/turbines/310-general-electric-ge-2.5-120
GE120/2750,116,125,GE Wind,GE 2.75-120,2750000,120,11308,85; 98.3; 110; 139,,,,,,True,True,True,True,https://www.wind-turbine-models.com/turbines/983-general-electric-ge-2.75-120
GE130/3200,114,123,GE Wind,GE 3.2-130,3200000,130,13272,85;110;134;155,,IIIa,2,,,True,True,True,True,https://www.wind-turbine-models.com/turbines/1290-general-electric-ge-3.2-130
GE137/3400,113,122,GE Wind,GE 3.4-137,3400000,137,14739,85;110;131;134;155,,,,,,True,False,False,False,https://www.wind-turbine-models.com/turbines/1339-general-electric-ge-3.4-137
GE137/3600,112,121,GE Wind,GE 3.6-137,3600000,137,14739,85;110;131.4;164.5,,IIIb,,,,,False,False,False,https://www.wind-turbine-models.com/turbines/1551-general-electric-ge-3.6-137
GE150/6000,110,119,GE Wind,Haliade 150-6MW,6000000,151,17906,100; side spec,,Ib,,,,,False,False,False,https://www.gerenewableenergy.com/wind-energy/turbines/offshore-turbine-haliade; https://www.wind-turbine-models.com/turbines/1446-general-electric-haliade-150-6mw
GE158/4800,111,120,GE Wind,GE 4.8-158,4800000,158,19604,101;120.9;149;169,,,,,,,False,False,False,https://www.gerenewableenergy.com/wind-energy/turbines/4mw-platform; https://www.wind-turbine-models.com/turbines/1719-general-electric-ge-4.8-158
MM100/2000,96,103,Senvion/REpower,MM100,2000000,100,7853,,13.9,IEC IIb,3,254.6,3.9,True,True,True,True,http://www.windenergie-im-binnenland.de/powercurve.php
MM82/2050,98,105,Senvion/REpower,MM82,2050000,82,5280,,,,,,,,False,False,False,
MM92/2050,97,104,Senvion/REpower,MM92,2050000,93,6719,"68,5;80,0;100,0",15,IEC IIa,,305.1,3.3,False,True,False,False,http://www.windenergie-im-binnenland.de/powercurve.php
N100/2500,22,24,Nordex,,2500000,100,7853,75;85;100,,,,,,,True,True,True,
N100/3300,21,23,Nordex,,3300000,100,7853,75;85;100,,,,,,,False,False,False,
N117/2400,20,22,Nordex,,2400000,117,10713,91; 120; 141,20,IEC 3,,224,4.5,,True,True,True,https://www.en.wind-turbine-models.com/turbines/96-nordex-n-117-gamma
N117/3000,19,21,Nordex,,3000000,117,10750,91; 120; 141,,,,,,,False,False,False,
N117/3600,18,20,Nordex,,3600000,117,10750,91; 120; 141,,,,,,,False,False,False,
N131/3000,17,19,Nordex,,3000000,131,13477,99; 114; 134,,,,,,,True,True,True,http://www.windenergie-im-binnenland.de/powercurve.php
N131/3300,16,18,Nordex,,3300000,131,13477,134; 164,,,,,,,True,True,True,http://www.windenergie-im-binnenland.de/powercurve.php
N131/3600,15,17,Nordex,,3600000,131,13477,84; 106; 112; 134,13.6,IEC SA,,267.1,3.7,True,True,True,True,http://www.nordex-online.com/de/produkte-service/windenergieanlagen/; https://www.wind-turbine-models.com/turbines/1466-nordex-n-131-3600-delta
N131/3900,14,16,Nordex,,3900000,131,13477,84; 106; 112; 134,,,,289.4,3.5,,False,False,False,http://www.nordex-online.com/de/produkte-service/windenergieanlagen/; https://www.wind-turbine-models.com/turbines/1583-nordex-n-131-3900-delta
N80/2500,24,26,Nordex,,2500000,80,5026,,,,,,,,False,False,False,
N90/2500,23,25,Nordex,,2500000,90,6361,65;70;80,,,,,,,True,True,True,http://www.windenergie-im-binnenland.de/powercurve.php
S104/3400,90,97,Senvion/REpower,3.4M104,3400000,104,8494,73;80;93;100,,,,,,True,True,False,False,https://www.senvion.com/global/en/products-services/wind-turbines/3xm/34m104/;
S114/3200,93,100,Senvion/REpower,3.2M114 NES,3200000,114,10206,93; 119; 123; 143,12.1,IEC IIA,4,,,,True,False,False,http://www.windenergie-im-binnenland.de/powercurve.php
S114/3400,89,96,Senvion/REpower,3.4M114,3400000,114,10206,93; 119; 123; 143,12.1,,,331.1,3,True,True,True,True,https://www.wind-turbine-models.com/turbines/1003-senvion-3.4m114
S114/3600,87,94,Senvion/REpower,3.6M114 NES,3600000,114,10206,90; 116; 119,12.1,,,352.7,2.8,True,False,False,False,https://www.senvion.com/global/en/products-services/wind-turbines/3xm/36m114-nes/; https://www.wind-turbine-models.com/turbines/1715-senvion-3.6m114
S122/3000,95,102,Senvion/REpower,3.0M122,3000000,122,11688,136;139,,,,,,,True,True,True,http://www.windenergie-im-binnenland.de/powercurve.php
S122/3200,94,101,Senvion/REpower,3.2M122,3200000,122,11688,139;,,,,,,,True,True,True,http://www.windenergie-im-binnenland.de/powercurve.php
S122/3400,91,98,Senvion/REpower,3.4M122 NES,3400000,122,11688,139;,,,,,,True,False,False,False,https://www.senvion.com/global/en/products-services/wind-turbines/3xm/34m122-nes/;
S126/6150,86,93,Senvion/REpower,6.2M126,6150000,126,12467,95; 110; 112; 114; 117,12.1,IEC Ib/ IEC S,4,493.2,2,True,True,False,False,https://www.senvion.com/global/en/products-services/wind-turbines/6xm/62m126/; https://www.wind-turbine-models.com/turbines/887-senvion-6.2m152-offshore; https://www.wind-turbine-models.com/turbines/884-senvion-6.2m126-onshore
S140/3400,92,99,Senvion/REpower,3.4M140 EBC,3400000,140,15392,93;119;123;143,,,,,,True,False,False,False,https://www.senvion.com/global/en/products-services/wind-turbines/3xm/34m140-ebc/;
S140/3600,88,95,Senvion/REpower,3.4M140 EBC,3600000,140,15392,110; 130; 160,9.6,,,233.9,4.3,True,False,False,False,https://www.senvion.com/global/en/products-services/wind-turbines/3xm/36m140-ebc/; https://www.wind-turbine-models.com/turbines/1555-senvion-3.6m140
S152/6150,85,92,Senvion/REpower,6.2M152,6150000,152,18144,85; 95; 121; 124,10.1,,,338.9,3,True,False,False,False,https://www.senvion.com/global/en/products-services/wind-turbines/6xm/62m152/; https://www.wind-turbine-models.com/turbines/1713-senvion-6.3m152-offshore; https://www.wind-turbine-models.com/turbines/885-senvion-6.2m126-offshore
S152/6330,84,91,Senvion/REpower,6.3M152,6330000,152,18144,121; 125,10.1,,,348.8,2.9,True,True,False,False,https://www.senvion.com/global/en/products-services/wind-turbines/6xm/63m152/; https://www.wind-turbine-models.com/turbines/1714-senvion-6.3m152-onshore; https://www.wind-turbine-models.com/turbines/1713-senvion-6.3m152-offshore
SCD168/8000,137,149,aerodyn,SCD 168 8000,8000000,168,22164,,,,,,,,True,False,False,https://www.wind-turbine-models.com/turbines/1116-aerodyn-scd-8.0-168
SWT101/2300,75,80,Siemens,SWT-2.3-101,2300000,101,8011,80;,,,,,,,False,False,False,
SWT101/3000,70,75,Siemens,SWT-3.0-101,3000000,101,8011,80;115;142.5,,,,,,,False,False,False,
SWT101/3200,66,71,Siemens,SWT-3.2-101,3200000,101,8011,74.5;79.5;89.5;94;99.5,,,,,,,False,False,False,
SWT107/3600,62,67,Siemens,SWT-3.6-107,3600000,107,8991,80;,,,,,,,False,False,False,
SWT108/2300,74,79,Siemens,SWT-2.3-108,2300000,108,9160,80;,,,,,,,False,False,False,
SWT108/3000,69,74,Siemens,SWT-3.0-108,3000000,108,9160,79.5,,,,,,,False,False,False,
SWT108/3200,65,70,Siemens,SWT-3.2-108,3200000,108,9160,79.5,,,,,,,False,False,False,
SWT113/2300,73,78,Siemens,SWT-2.3-113,2300000,113,10027,99.5,,,,,,,True,True,True,http://www.windenergie-im-binnenland.de/powercurve.php
SWT113/3000,68,73,Siemens,SWT-3.0-113,3000000,113,10027,79.5; 92.5; 99.5; 122; 142,15.5,,,300,3.3,,False,False,False,
SWT113/3200,64,69,Siemens,SWT-3.2-113,3200000,113,10027,79.5;92.5;99.5;122;142,,,,,,,True,True,True,http://www.windenergie-im-binnenland.de/powercurve.php
SWT120/2300,72,77,Siemens,SWT-2.3-120,2300000,120,11308,80;92.4,,,,,,,False,False,False,
SWT120/2500,71,76,Siemens,SWT-2.5-120,2500000,120,11308,85.1;92,,,,,,,False,False,False,
SWT120/3600,61,66,Siemens,SWT-3.6-120,3600000,120,11308,90;,,,,,,,True,True,True,http://www.windenergie-im-binnenland.de/powercurve.php
SWT120/6000,58,63,Siemens,SWT-6.0-120,6000000,120,11308,90;,13,IEC Ia,,318.6,3.1,,False,False,False,https://www.wind-turbine-models.com/turbines/646-siemens-swt-3.6-120-onshore
SWT130/3300,63,68,Siemens,SWT-3.3-130,3300000,130,13272,85;110;120;135,,,,,,,True,True,True,http://www.windenergie-im-binnenland.de/powercurve.php
SWT130/3600,60,65,Siemens,SWT-3.6-130,3600000,130,13272,85;115;135;165,,,,,,,True,True,True,http://www.windenergie-im-binnenland.de/powercurve.php
SWT130/4000,59,64,Siemens,SWT-4.0-130,4000000,130,13272,90; 89.5,,,,,,,False,False,False,
SWT142/3150,67,72,Siemens,SWT-3.15-142,3150000,142,15835,109;129;165,,,,,,,True,True,True,http://www.windenergie-im-binnenland.de/powercurve.php
SWT154/6000,57,62,Siemens,SWT-6.0-154,6000000,154,18624,,11,IEC Ia,,322.6,3.1,,False,False,False,https://www.wind-turbine-models.com/turbines/657-siemens-swt-6.0-154
SWT154/7000,56,61,Siemens,SWT-7.0-154,7000000,154,18624,,,,,,,,False,False,False,
SWT62/1300,78,83,Siemens,SWT-1.3-62,1300000,62,3019,68-90,,,,,,,False,False,False,
