turbine_type,calculated,has_cp_curve,has_ct_curve,has_power_curve,hub_height,id,manufacturer,max_speed_drive,name,nominal_power,power_density,power_density_2,rotor_area,rotor_diameter,source,turbine_id,turbine_type_v2,wind_class_iec,wind_zone_dibt
S114/3600,True,False,False,False,90; 116; 119,87,Senvion/REpower,12,3.6M114 NES,3600000,353,3,10206,114,https://www.senvion.com/global/en/products-services/wind-turbines/3xm/36m114-nes/; https://www.wind-turbine-models.com/turbines/1715-senvion-3.6m114,94,S-114_3600,,
S140/3600,True,False,False,False,110; 130; 160,88,Senvion/REpower,10,3.4M140 EBC,3600000,234,4,15392,140,https://www.senvion.com/global/en/products-services/wind-turbines/3xm/36m140-ebc/; https://www.wind-turbine-models.com/turbines/1555-senvion-3.6m140,95,S-140_3600,,
S114/3400,True,True,True,True,93; 119; 123; 143,89,Senvion/REpower,12,3.4M114,3400000,331,3,10206,114,https://www.wind-turbine-models.com/turbines/1003-senvion-3.4m114,96,S-114_3400,,
S104/3400,True,False,False,True,73;80;93;100,90,Senvion/REpower,,3.4M104,3400000,,,8494,104,https://www.senvion.com/global/en/products-services/wind-turbines/3xm/34m104/;,97,S-104_3400,,
S122/3400,True,False,False,False,139;,91,Senvion/REpower,,3.4M122 NES,3400000,,,11688,122,https://www.senvion.com/global/en/products-services/wind-turbines/3xm/34m122-nes/;,98,S-122_3400,,
S140/3400,True,False,False,False,93;119;123;143,92,Senvion/REpower,,3.4M140 EBC,3400000,,,15392,140,https://www.senvion.com/global/en/products-services/wind-turbines/3xm/34m140-ebc/;,99,S-140_3400,,
S122/3000,,True,True,True,136;139,95,Senvion/REpower,,3.0M122,3000000,,,11688,122,http://www.windenergie-im-binnenland.de/powercurve.php,102,S-122_3000,,
MM100/2000,True,True,True,True,,96,Senvion/REpower,14,MM100,2000000,255,4,7853,100,http://www.windenergie-im-binnenland.de/powercurve.php,103,MM-100_2000,IEC IIb,3
S122/3200,,True,True,True,139;,94,Senvion/REpower,,3.2M122,3200000,,,11688,122,http://www.windenergie-im-binnenland.de/powercurve.php,101,S-122_3200,,
S152/6150,True,False,False,False,85; 95; 121; 124,85,Senvion/REpower,10,6.2M152,6150000,339,3,18144,152,https://www.senvion.com/global/en/products-services/wind-turbines/6xm/62m152/; https://www.wind-turbine-models.com/turbines/1713-senvion-6.3m152-offshore; https://www.wind-turbine-models.com/turbines/885-senvion-6.2m126-offshore,92,S-152_6150,,
SWT154/6000,,False,False,False,,57,Siemens,11,SWT-6.0-154,6000000,323,3,18624,154,https://www.wind-turbine-models.com/turbines/657-siemens-swt-6.0-154,62,SWT-154_6000,IEC Ia,
SWT154/7000,,False,False,False,,56,Siemens,,SWT-7.0-154,7000000,,,18624,154,,61,SWT-154_7000,,
SWT113/3000,,False,False,False,79.5; 92.5; 99.5; 122; 142,68,Siemens,16,SWT-3.0-113,3000000,300,3,10027,113,,73,SWT-113_3000,,
