turbine_type,calculated,has_cp_curve,has_ct_curve,has_power_curve,hub_height,id,index,installed_capacity,manufacturer,max_speed_drive,name,power_density,power_density_2,rotor_area,rotor_diameter,source,turbine_id,wind_class_iec,wind_zone_dibt
GE120/2500,True,True,True,True,110; 139,120,119,2500000,GE Wind,,GE 2.5-120,,,11308,120,https://www.wind-turbine-models.com/turbines/310-general-electric-ge-2.5-120,128,,
GE103/2500,True,False,False,False,85; 110; 139,121,120,2500000,GE Wind,,GE 2.5-103,243,4,8331,103,https://www.wind-turbine-models.com/turbines/1293-general-electric-ge-2.5-103,129,IIIa,WZ 2
GE100/2500,True,False,False,False,75/85,122,121,2500000,GE Wind,,GE 2.5-100,,,7853,100,https://www.wind-turbine-models.com/turbines/641-general-electric-ge-2.5-100,130,,
ENO126/3500,True,True,True,True,117; 137; 165,125,124,3500000,Eno,,ENO 126 3.5,,,12467,126,https://www.wind-turbine-models.com/turbines/653-eno-energy-eno-126-3.5,135,,
ENO114/4800,,False,False,False,,126,125,4800000,Eno,,ENO 114 4.8,,,10206,114,https://www.wind-turbine-models.com/turbines/1742-eno-energy-eno-114-4.8,136,,
ENO114/4000,,False,False,False,,127,126,4000000,Eno,,ENO 114 4.0,,,10206,114,https://www.wind-turbine-models.com/turbines/1473-eno-energy-eno-114-4.0,137,,
ENO114/3500,True,True,True,True,"92; 127,5; 142",128,127,3500000,Eno,,ENO 114 3.5,,,10206,114,https://www.wind-turbine-models.com/turbines/283-eno-energy-eno-114-3.5,138,,
ENO100/2200,True,True,True,True,99,129,128,2200000,Eno,,ENO 100,,,7853,100,https://www.wind-turbine-models.com/turbines/651-eno-energy-eno-100,139,,
ENO92/2200,,False,False,False,,130,129,2200000,Eno,,ENO 92,,,6647,92,https://www.wind-turbine-models.com/turbines/652-eno-energy-eno-92,140,,
ENO82/2050,True,False,False,False,,131,130,2050000,Eno,,ENO 82,,,5280,82,http://www.eno-energy.com/produkte-leistungen/windenergieanlagen/eno-82-205-mw/#c86; https://www.wind-turbine-models.com/turbines/108-eno-energy-eno-82,141,,
V164/9500,,False,False,True,105; 140,132,131,9500000,Vestas,,,,,21121,164,http://www.mhivestasoffshore.com/; engauge digitizer; https://www.thewindpower.net/turbine_en_1476_mhi-vestas-offshore_v164-9500.php,143,,
E48/800,,True,False,True,50;55; 60;65;76,133,132,800000,Enercon,,E-48 800,,,1809,48,http://www.windenergie-im-binnenland.de/powercurve.php,144,,
V90/2000/GS,,True,True,True,,134,133,2000000,Vestas,,V90/2000 GS,,,6361,90,http://www.windenergie-im-binnenland.de/powercurve.php,145,,
V100/1800,,True,True,True,,135,134,1800000,Vestas,,V100/1800,,,7853,100,http://www.windenergie-im-binnenland.de/powercurve.php,146,,
V100/1800/GS,,True,True,True,,136,135,1800000,Vestas,,V100/1800 GS,,,7853,100,http://www.windenergie-im-binnenland.de/powercurve.php,147,,
V117/3600,,True,True,True,,137,136,3600000,Vestas,,V117-3.6,,,10750,117,http://www.windenergie-im-binnenland.de/powercurve.php,148,,
SCD168/8000,,False,False,True,,138,137,8000000,aerodyn,,SCD 168 8000,,,22164,168,https://www.wind-turbine-models.com/turbines/1116-aerodyn-scd-8.0-168,149,,
E-126/7500,,False,False,True,125,139,138,7500000,Enercon,,E-126/126/7500,2,,12666,127,https://www.thewindpower.net/turbine_en_225_enercon_e126-7500.php,150,,
